fov,y,x,probability,object_intensity,nucleus_id
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,1040.0641,514.943,0.5032,3557.6133,12
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,1034.0,486.0,0.4417,2582.5364,12
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,1032.7716,490.6444,0.4864,2952.521,12
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,1028.642,476.3379,0.556,4383.082,12
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,1026.7071,493.2735,0.4777,3193.5066,12
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,1024.7949,456.1602,0.6158,5841.948,12
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,1020.2806,479.1091,0.4891,3565.6643,12
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,1018.3993,510.8174,0.5205,4224.215,12
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,1018.9858,442.4248,0.5087,6715.132,12
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,1018.0,493.0,0.459,3717.8765,12
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,1017.0,456.0,0.4668,4705.3604,12
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,1016.0904,431.7043,0.4863,4809.8555,12
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,1017.967,380.3355,0.4945,3290.5713,12
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,1015.4835,472.5298,0.5183,6248.5864,12
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,1012.3928,414.9587,0.5017,4452.721,12
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,1012.0,511.0,0.4594,3232.0767,12
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,1011.9963,465.6932,0.4988,5094.779,12
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,1011.0,492.0,0.432,4019.3083,12
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,1011.0918,485.8738,0.4849,4812.5786,12
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,1010.2367,377.9186,0.8085,8553.982,12
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,1010.0617,352.7592,0.4975,3007.1157,12
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,1009.4263,401.0619,0.6671,7093.6113,12
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,1007.8453,456.5724,0.6306,6672.0806,12
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,1006.0,410.0,0.4061,4056.2207,12
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,1005.0,620.0,0.4137,2419.6355,11
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,1005.6441,470.0717,0.48,5922.0425,12
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,1005.0523,586.1892,0.5,2409.4275,11
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,1003.4437,494.5588,0.5429,5683.389,12
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,1003.74,399.0313,0.828,10067.035,12
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,1002.9937,463.0755,0.5338,7160.5063,12
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,1002.7802,327.997,0.8612,9147.402,12
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,1002.4836,613.6852,0.495,3006.3215,11
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,1002.2782,594.9795,0.5857,4440.3887,11
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,1001.0,381.0,0.4631,4122.2236,12
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,1000.0,632.0,0.4113,2882.587,11
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,1000.0639,361.0335,0.5001,4248.0337,12
